Local time,Open,High,Low,Close,Volume
01.01.2024 00:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 01:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 02:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 03:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 04:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 05:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 06:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 07:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 08:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 09:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 10:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 11:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 12:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 13:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 14:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 15:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 16:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 17:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 18:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 19:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 20:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 21:00:00.000 GMT+0100,42448,42448,42448,42448,0
01.01.2024 22:00:00.000 GMT+0100,43712,43751,43452,43583,0.0018
01.01.2024 23:00:00.000 GMT+0100,43540,43540,43426,43490,0.0005
02.01.2024 00:00:00.000 GMT+0100,43490,44154,43490,44146,0.0135
02.01.2024 01:00:00.000 GMT+0100,44146,45174,44118,45059,0.0261
02.01.2024 02:00:00.000 GMT+0100,45047,45346,44673,44828,0.0298
02.01.2024 03:00:00.000 GMT+0100,44828,45376,44828,45375,0.0144
02.01.2024 04:00:00.000 GMT+0100,45375,45463,45116,45379,0.0155
02.01.2024 05:00:00.000 GMT+0100,45377,45446,45141,45168,0.0114
02.01.2024 06:00:00.000 GMT+0100,45165,45315,45098,45162,0.0095
02.01.2024 07:00:00.000 GMT+0100,45164,45298,45099,45149,0.01
02.01.2024 08:00:00.000 GMT+0100,45153,45592,45135,45424,0.0161
02.01.2024 09:00:00.000 GMT+0100,45424,45841,45307,45743,0.0215
02.01.2024 10:00:00.000 GMT+0100,45743,45865,45606,45683,0.0188
02.01.2024 11:00:00.000 GMT+0100,45683,45684,45426,45560,0.0147
02.01.2024 12:00:00.000 GMT+0100,45562,45679,45184,45419,0.0168
02.01.2024 13:00:00.000 GMT+0100,45419,45564,45245,45299,0.0211
02.01.2024 14:00:00.000 GMT+0100,45299,45686,45244,45620,0.016
02.01.2024 15:00:00.000 GMT+0100,45618,45800,45036,45261,0.028
02.01.2024 16:00:00.000 GMT+0100,45254,45309,44808,45192,0.0314
02.01.2024 17:00:00.000 GMT+0100,45192,45390,44884,45358,0.0317
02.01.2024 18:00:00.000 GMT+0100,45348,45377,44933,44938,0.0259
02.01.2024 19:00:00.000 GMT+0100,44939,45232,44920,45130,0.0185
02.01.2024 20:00:00.000 GMT+0100,45131,45208,44760,45019,0.0256
02.01.2024 21:00:00.000 GMT+0100,45019,45139,44739,44763,0.0174
02.01.2024 22:00:00.000 GMT+0100,44763,45082,44596,45082,0.0182
02.01.2024 23:00:00.000 GMT+0100,45088,45266,44827,44956,0.0072
03.01.2024 00:00:00.000 GMT+0100,44956,45021,44767,44916,0.0093
03.01.2024 01:00:00.000 GMT+0100,44918,45176,44833,45108,0.0117
03.01.2024 02:00:00.000 GMT+0100,45104,45295,45075,45281,0.0088
03.01.2024 03:00:00.000 GMT+0100,45281,45375,45183,45250,0.0072
03.01.2024 04:00:00.000 GMT+0100,45255,45289,45138,45242,0.0044
03.01.2024 05:00:00.000 GMT+0100,45242,45253,45094,45150,0.0045
03.01.2024 06:00:00.000 GMT+0100,45150,45265,45094,45158,0.0048
03.01.2024 07:00:00.000 GMT+0100,45158,45337,45133,45291,0.0047
03.01.2024 08:00:00.000 GMT+0100,45291,45349,44913,44979,0.0084
03.01.2024 09:00:00.000 GMT+0100,44991,45164,44972,45164,0.0105
03.01.2024 10:00:00.000 GMT+0100,45164,45468,45145,45309,0.01
03.01.2024 11:00:00.000 GMT+0100,45309,45357,45014,45116,0.0112
03.01.2024 12:00:00.000 GMT+0100,45116,45151,43475,43661,0.0304
03.01.2024 13:00:00.000 GMT+0100,43661,43680,40834,42763,0.1277
03.01.2024 14:00:00.000 GMT+0100,42763,42800,42279,42517,0.0736
03.01.2024 15:00:00.000 GMT+0100,42517,42517,42010,42167,0.0627
03.01.2024 16:00:00.000 GMT+0100,42168,42988,42159,42960,0.0653
03.01.2024 17:00:00.000 GMT+0100,42959,43533,42772,42978,0.0465
03.01.2024 18:00:00.000 GMT+0100,42978,43020,42594,42896,0.0324
03.01.2024 19:00:00.000 GMT+0100,42896,43020,41982,42218,0.0275
03.01.2024 20:00:00.000 GMT+0100,42218,42972,42133,42560,0.0343
03.01.2024 21:00:00.000 GMT+0100,42560,42821,42498,42672,0.0211
03.01.2024 22:00:00.000 GMT+0100,42672,42933,42554,42883,0.0184
03.01.2024 23:00:00.000 GMT+0100,42899,42927,42591,42713,0.0073
04.01.2024 00:00:00.000 GMT+0100,42713,42813,42568,42809,0.0147
04.01.2024 01:00:00.000 GMT+0100,42809,42945,42728,42846,0.0139
04.01.2024 02:00:00.000 GMT+0100,42853,42900,42594,42681,0.0104
04.01.2024 03:00:00.000 GMT+0100,42681,43188,42654,43117,0.0118
04.01.2024 04:00:00.000 GMT+0100,43117,43201,42984,43085,0.0101
04.01.2024 05:00:00.000 GMT+0100,43085,43193,42934,43115,0.0108
04.01.2024 06:00:00.000 GMT+0100,43115,43248,43054,43147,0.0066
04.01.2024 07:00:00.000 GMT+0100,43147,43221,43058,43123,0.0083
04.01.2024 08:00:00.000 GMT+0100,43142,43245,42744,42744,0.0189
04.01.2024 09:00:00.000 GMT+0100,42744,42960,42693,42843,0.0197
