Local time,Open,High,Low,Close,Volume
01.01.2024 02:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 03:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 04:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 05:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 06:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 07:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 08:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 09:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 10:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 11:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 12:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 13:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 14:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 15:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 16:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 17:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 18:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 19:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 20:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 21:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 22:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
01.01.2024 23:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
02.01.2024 00:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
02.01.2024 01:00:00.000 GMT+0100,101.039,101.039,101.039,101.039,0
02.01.2024 02:00:00.000 GMT+0100,101.051,101.115,101.009,101.110,6.162
02.01.2024 03:00:00.000 GMT+0100,101.099,101.245,101.094,101.237,5.604
02.01.2024 04:00:00.000 GMT+0100,101.242,101.250,101.190,101.200,3.828
02.01.2024 05:00:00.000 GMT+0100,101.196,101.259,101.190,101.221,2.976
02.01.2024 06:00:00.000 GMT+0100,101.217,101.221,101.099,101.099,4.5869
02.01.2024 07:00:00.000 GMT+0100,101.094,101.178,101.094,101.164,4.146
02.01.2024 08:00:00.000 GMT+0100,101.158,101.240,101.069,101.239,11.0309
