Local time,Open,High,Low,Close,Volume
01.01.2024 00:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 01:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 02:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 03:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 04:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 05:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 06:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 07:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 08:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 09:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 10:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 11:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 12:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 13:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 14:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 15:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 16:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 17:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 18:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 19:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 20:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 21:00:00.000 GMT+0100,2298,2298,2298,2298,0
01.01.2024 22:00:00.000 GMT+0100,2338,2343,2330,2334,0.7486
01.01.2024 23:00:00.000 GMT+0100,2335,2337,2322,2332,0.0823
02.01.2024 00:00:00.000 GMT+0100,2332,2349,2332,2349,0.622
02.01.2024 01:00:00.000 GMT+0100,2349,2389,2345,2386,0.9285
02.01.2024 02:00:00.000 GMT+0100,2386,2396,2369,2376,0.8907
02.01.2024 03:00:00.000 GMT+0100,2376,2381,2373,2381,0.2303
02.01.2024 04:00:00.000 GMT+0100,2381,2387,2370,2385,0.3167
02.01.2024 05:00:00.000 GMT+0100,2385,2389,2378,2387,0.2524
02.01.2024 06:00:00.000 GMT+0100,2387,2391,2376,2377,0.1816
02.01.2024 07:00:00.000 GMT+0100,2377,2383,2373,2374,0.2622
02.01.2024 08:00:00.000 GMT+0100,2374,2388,2374,2385,0.1637
02.01.2024 09:00:00.000 GMT+0100,2385,2430,2380,2426,0.4207
02.01.2024 10:00:00.000 GMT+0100,2426,2427,2411,2413,0.4543
02.01.2024 11:00:00.000 GMT+0100,2413,2415,2392,2397,0.4285
02.01.2024 12:00:00.000 GMT+0100,2397,2402,2380,2390,0.2192
02.01.2024 13:00:00.000 GMT+0100,2390,2403,2382,2386,0.2876
02.01.2024 14:00:00.000 GMT+0100,2386,2400,2382,2397,0.1445
02.01.2024 15:00:00.000 GMT+0100,2397,2402,2356,2367,0.3402
02.01.2024 16:00:00.000 GMT+0100,2366,2370,2352,2357,0.3061
02.01.2024 17:00:00.000 GMT+0100,2357,2368,2349,2367,0.2191
02.01.2024 18:00:00.000 GMT+0100,2367,2367,2350,2356,0.3103
02.01.2024 19:00:00.000 GMT+0100,2356,2368,2353,2364,0.2143
02.01.2024 20:00:00.000 GMT+0100,2364,2371,2354,2367,0.2348
02.01.2024 21:00:00.000 GMT+0100,2367,2378,2357,2358,0.1822
02.01.2024 22:00:00.000 GMT+0100,2358,2363,2344,2363,0.3051
