Local time,Open,High,Low,Close,Volume
01.01.2024 00:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 01:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 02:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 03:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 04:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 05:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 06:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 07:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 08:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 09:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 10:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 11:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 12:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 13:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 14:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 15:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 16:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 17:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 18:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 19:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 20:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 21:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 22:00:00.000 GMT+0100,0.86660,0.86660,0.86660,0.86660,0
01.01.2024 23:00:00.000 GMT+0100,0.86692,0.86790,0.86692,0.86743,800.82
02.01.2024 00:00:00.000 GMT+0100,0.86743,0.86743,0.86682,0.86704,1857.22
02.01.2024 01:00:00.000 GMT+0100,0.86703,0.86738,0.86695,0.86732,1302.54
02.01.2024 02:00:00.000 GMT+0100,0.86733,0.86757,0.86722,0.86742,2306.1599
02.01.2024 03:00:00.000 GMT+0100,0.86743,0.86743,0.86653,0.86683,2122.6101
