Local time,Open,High,Low,Close,Volume
01.01.2024 00:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 01:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 02:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 03:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 04:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 05:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 06:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 07:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 08:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 09:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 10:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 11:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 12:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 13:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 14:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 15:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 16:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 17:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 18:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 19:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 20:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 21:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 22:00:00.000 GMT+0100,1.10374,1.10374,1.10374,1.10374,0
01.01.2024 23:00:00.000 GMT+0100,1.10427,1.10447,1.10420,1.10438,819.5
02.01.2024 00:00:00.000 GMT+0100,1.10446,1.10446,1.10356,1.10365,3104.46
02.01.2024 01:00:00.000 GMT+0100,1.10366,1.10383,1.10342,1.10381,3844.3501
02.01.2024 02:00:00.000 GMT+0100,1.10380,1.10432,1.10342,1.10348,7218.52
02.01.2024 03:00:00.000 GMT+0100,1.10347,1.10359,1.10182,1.10187,9343.2803
