Local time,Open,High,Low,Close,Volume
01.01.2024 00:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 01:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 02:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 03:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 04:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 05:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 06:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 07:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 08:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 09:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 10:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 11:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 12:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 13:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 14:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 15:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 16:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 17:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 18:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 19:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 20:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 21:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 22:00:00.000 GMT+0100,1.27292,1.27292,1.27292,1.27292,0
01.01.2024 23:00:00.000 GMT+0100,1.27184,1.27299,1.27155,1.27259,1090.8101
02.01.2024 00:00:00.000 GMT+0100,1.27260,1.27347,1.27258,1.27274,2187.6699
02.01.2024 01:00:00.000 GMT+0100,1.27275,1.27294,1.27212,1.27250,2322.03
02.01.2024 02:00:00.000 GMT+0100,1.27250,1.27331,1.27199,1.27202,5821.8999
02.01.2024 03:00:00.000 GMT+0100,1.27204,1.27252,1.27097,1.27104,4554.8701
02.01.2024 04:00:00.000 GMT+0100,1.27104,1.27194,1.27095,1.27181,2820.1599
02.01.2024 05:00:00.000 GMT+0100,1.27180,1.27188,1.27107,1.27139,1955.6899
02.01.2024 06:00:00.000 GMT+0100,1.27139,1.27409,1.27139,1.27367,3129.6299
02.01.2024 07:00:00.000 GMT+0100,1.27368,1.27369,1.27287,1.27307,4301.5601
02.01.2024 08:00:00.000 GMT+0100,1.27309,1.27438,1.27264,1.27320,7343.77
02.01.2024 09:00:00.000 GMT+0100,1.27324,1.27596,1.27292,1.27494,7495.3901
02.01.2024 10:00:00.000 GMT+0100,1.27493,1.27559,1.27168,1.27171,5335.3599
02.01.2024 11:00:00.000 GMT+0100,1.27169,1.27184,1.26920,1.26948,7303.6299
02.01.2024 12:00:00.000 GMT+0100,1.26947,1.26947,1.26538,1.26621,7748.4702
02.01.2024 13:00:00.000 GMT+0100,1.26623,1.26626,1.26392,1.26433,5474.6499
02.01.2024 14:00:00.000 GMT+0100,1.26434,1.26481,1.26211,1.26294,6628.2402
02.01.2024 15:00:00.000 GMT+0100,1.26292,1.26443,1.26197,1.26279,11120.5498
02.01.2024 16:00:00.000 GMT+0100,1.26280,1.26370,1.26147,1.26248,12927.9502
02.01.2024 17:00:00.000 GMT+0100,1.26249,1.26349,1.26105,1.26294,11331.9805
02.01.2024 18:00:00.000 GMT+0100,1.26295,1.26365,1.26216,1.26327,7595.7202
02.01.2024 19:00:00.000 GMT+0100,1.26327,1.26346,1.26234,1.26254,4523.3999
02.01.2024 20:00:00.000 GMT+0100,1.26256,1.26263,1.26194,1.26197,4196.8501
02.01.2024 21:00:00.000 GMT+0100,1.26196,1.26263,1.26156,1.26175,3213.02
02.01.2024 22:00:00.000 GMT+0100,1.26175,1.26216,1.26149,1.26149,1890.89
02.01.2024 23:00:00.000 GMT+0100,1.26149,1.26226,1.26139,1.26179,3175.78
03.01.2024 00:00:00.000 GMT+0100,1.26186,1.26239,1.26182,1.26220,1264.6
03.01.2024 01:00:00.000 GMT+0100,1.26221,1.26317,1.26196,1.26308,2472.4199
03.01.2024 02:00:00.000 GMT+0100,1.26307,1.26333,1.26249,1.26286,4520.79
03.01.2024 03:00:00.000 GMT+0100,1.26285,1.26311,1.26261,1.26287,3485.97
03.01.2024 04:00:00.000 GMT+0100,1.26286,1.26406,1.26285,1.26402,4963.4199
03.01.2024 05:00:00.000 GMT+0100,1.26402,1.26413,1.26376,1.26409,3346.21
03.01.2024 06:00:00.000 GMT+0100,1.26409,1.26411,1.26296,1.26303,5235.9502
03.01.2024 07:00:00.000 GMT+0100,1.26303,1.26460,1.26301,1.26432,3059.8201
03.01.2024 08:00:00.000 GMT+0100,1.26433,1.26465,1.26240,1.26430,5392.2402
03.01.2024 09:00:00.000 GMT+0100,1.26431,1.26522,1.26353,1.26414,6143.6401
03.01.2024 10:00:00.000 GMT+0100,1.26413,1.26466,1.26250,1.26277,5206.27
03.01.2024 11:00:00.000 GMT+0100,1.26275,1.26312,1.26198,1.26260,4345.0801
03.01.2024 12:00:00.000 GMT+0100,1.26263,1.26313,1.26184,1.26265,4815.3999
03.01.2024 13:00:00.000 GMT+0100,1.26264,1.26417,1.26198,1.26243,5141.8301
03.01.2024 14:00:00.000 GMT+0100,1.26241,1.26429,1.26179,1.26293,9173.9004
03.01.2024 15:00:00.000 GMT+0100,1.26293,1.26413,1.26175,1.26321,9649.4902
03.01.2024 16:00:00.000 GMT+0100,1.26315,1.26562,1.26156,1.26276,16910.4199
03.01.2024 17:00:00.000 GMT+0100,1.26276,1.26503,1.26268,1.26404,9939.79
03.01.2024 18:00:00.000 GMT+0100,1.26404,1.26471,1.26367,1.26447,8029.4502
03.01.2024 19:00:00.000 GMT+0100,1.26445,1.26542,1.26404,1.26476,5582.6299
03.01.2024 20:00:00.000 GMT+0100,1.26478,1.26761,1.26303,1.26633,15844.6904
03.01.2024 21:00:00.000 GMT+0100,1.26639,1.26665,1.26540,1.26637,9393.0195
03.01.2024 22:00:00.000 GMT+0100,1.26636,1.26681,1.26614,1.26635,3412.29
03.01.2024 23:00:00.000 GMT+0100,1.26629,1.26684,1.26585,1.26647,2259.45
04.01.2024 00:00:00.000 GMT+0100,1.26645,1.26735,1.26639,1.26727,1510.14
04.01.2024 01:00:00.000 GMT+0100,1.26727,1.26729,1.26657,1.26687,5165.6201
04.01.2024 02:00:00.000 GMT+0100,1.26686,1.26698,1.26596,1.26617,7477.8101
04.01.2024 03:00:00.000 GMT+0100,1.26617,1.26636,1.26565,1.26593,4546.1299
04.01.2024 04:00:00.000 GMT+0100,1.26592,1.26731,1.26585,1.26730,4098.6099
04.01.2024 05:00:00.000 GMT+0100,1.26729,1.26758,1.26695,1.26698,3541.0801
04.01.2024 06:00:00.000 GMT+0100,1.26700,1.26715,1.26632,1.26650,9053.5498
04.01.2024 07:00:00.000 GMT+0100,1.26649,1.26789,1.26648,1.26789,4909.8398
04.01.2024 08:00:00.000 GMT+0100,1.26787,1.26935,1.26774,1.26926,5269.2202
04.01.2024 09:00:00.000 GMT+0100,1.26929,1.27080,1.26814,1.27011,7463.3799
04.01.2024 10:00:00.000 GMT+0100,1.27011,1.27242,1.26889,1.27199,6160.6201
04.01.2024 11:00:00.000 GMT+0100,1.27202,1.27296,1.27038,1.27069,5244.1699
04.01.2024 12:00:00.000 GMT+0100,1.27067,1.27073,1.26860,1.26898,3544.1001
04.01.2024 13:00:00.000 GMT+0100,1.26897,1.26953,1.26857,1.26922,4314.3101
04.01.2024 14:00:00.000 GMT+0100,1.26920,1.26960,1.26701,1.26728,10090.6504
04.01.2024 15:00:00.000 GMT+0100,1.26729,1.26848,1.26642,1.26784,9182.8496
04.01.2024 16:00:00.000 GMT+0100,1.26782,1.27105,1.26781,1.26987,9646.29
04.01.2024 17:00:00.000 GMT+0100,1.26986,1.27038,1.26885,1.26893,7483.8398
04.01.2024 18:00:00.000 GMT+0100,1.26893,1.26953,1.26724,1.26832,3984.3601
04.01.2024 19:00:00.000 GMT+0100,1.26831,1.26861,1.26775,1.26816,3518.01
04.01.2024 20:00:00.000 GMT+0100,1.26818,1.26855,1.26736,1.26826,3003.8999
04.01.2024 21:00:00.000 GMT+0100,1.26827,1.26851,1.26768,1.26839,3307.02
04.01.2024 22:00:00.000 GMT+0100,1.26842,1.26871,1.26793,1.26808,1851.3
04.01.2024 23:00:00.000 GMT+0100,1.26808,1.26882,1.26746,1.26846,2709.9099
05.01.2024 00:00:00.000 GMT+0100,1.26840,1.26856,1.26798,1.26807,1134.51
05.01.2024 01:00:00.000 GMT+0100,1.26807,1.26920,1.26794,1.26905,2996.29
05.01.2024 02:00:00.000 GMT+0100,1.26905,1.26951,1.26876,1.26934,4790.7598
05.01.2024 03:00:00.000 GMT+0100,1.26934,1.26962,1.26853,1.26862,3267.0701
05.01.2024 04:00:00.000 GMT+0100,1.26864,1.26877,1.26788,1.26810,3070.3799
05.01.2024 05:00:00.000 GMT+0100,1.26809,1.26860,1.26780,1.26785,4270.3198
05.01.2024 06:00:00.000 GMT+0100,1.26784,1.26799,1.26735,1.26738,7614.25
05.01.2024 07:00:00.000 GMT+0100,1.26741,1.26752,1.26646,1.26696,6665.7402
05.01.2024 08:00:00.000 GMT+0100,1.26698,1.26823,1.26690,1.26783,4430.3901
05.01.2024 09:00:00.000 GMT+0100,1.26783,1.26887,1.26608,1.26618,5119.3198
05.01.2024 10:00:00.000 GMT+0100,1.26615,1.26707,1.26568,1.26596,4572.3101
05.01.2024 11:00:00.000 GMT+0100,1.26594,1.26611,1.26511,1.26560,3576.4099
05.01.2024 12:00:00.000 GMT+0100,1.26558,1.26618,1.26500,1.26530,3180.8999
05.01.2024 13:00:00.000 GMT+0100,1.26532,1.26691,1.26516,1.26616,3657.3301
05.01.2024 14:00:00.000 GMT+0100,1.26621,1.26710,1.26106,1.26571,25363.4492
05.01.2024 15:00:00.000 GMT+0100,1.26574,1.27057,1.26546,1.27006,19807.1406
05.01.2024 16:00:00.000 GMT+0100,1.27018,1.27707,1.26993,1.27515,21932.6602
05.01.2024 17:00:00.000 GMT+0100,1.27516,1.27551,1.27317,1.27377,8747.4004
05.01.2024 18:00:00.000 GMT+0100,1.27377,1.27378,1.27158,1.27232,6881.8501
05.01.2024 19:00:00.000 GMT+0100,1.27232,1.27347,1.27100,1.27320,4537.4102
05.01.2024 20:00:00.000 GMT+0100,1.27322,1.27392,1.27185,1.27228,7341.6201
05.01.2024 21:00:00.000 GMT+0100,1.27227,1.27236,1.27156,1.27198,3272.5601
05.01.2024 22:00:00.000 GMT+0100,1.27196,1.27196,1.27155,1.27173,3901.6799
07.01.2024 23:00:00.000 GMT+0100,1.27018,1.27175,1.27018,1.27140,798.38
08.01.2024 00:00:00.000 GMT+0100,1.27137,1.27192,1.27083,1.27169,2139.6599
08.01.2024 01:00:00.000 GMT+0100,1.27169,1.27238,1.27124,1.27226,2404.8401
08.01.2024 02:00:00.000 GMT+0100,1.27226,1.27296,1.27196,1.27209,3336.21
08.01.2024 03:00:00.000 GMT+0100,1.27208,1.27208,1.27098,1.27109,2446.05
08.01.2024 04:00:00.000 GMT+0100,1.27108,1.27134,1.26985,1.27014,4464.3501
08.01.2024 05:00:00.000 GMT+0100,1.27013,1.27048,1.26977,1.27018,1864.98
08.01.2024 06:00:00.000 GMT+0100,1.27019,1.27046,1.26983,1.27033,2240.1599
08.01.2024 07:00:00.000 GMT+0100,1.27033,1.27151,1.27018,1.27150,2640.03
08.01.2024 08:00:00.000 GMT+0100,1.27149,1.27198,1.27009,1.27078,4750.0298
08.01.2024 09:00:00.000 GMT+0100,1.27077,1.27107,1.26877,1.26908,6106.5601
08.01.2024 10:00:00.000 GMT+0100,1.26911,1.26977,1.26729,1.26947,4534.7402
08.01.2024 11:00:00.000 GMT+0100,1.26953,1.27100,1.26928,1.27051,4334.7598
08.01.2024 12:00:00.000 GMT+0100,1.27052,1.27132,1.26947,1.26980,3985.1101
08.01.2024 13:00:00.000 GMT+0100,1.26977,1.27203,1.26976,1.27086,4234.8501
08.01.2024 14:00:00.000 GMT+0100,1.27087,1.27207,1.27014,1.27115,6384.8198
08.01.2024 15:00:00.000 GMT+0100,1.27114,1.27300,1.27088,1.27287,8122.3599
08.01.2024 16:00:00.000 GMT+0100,1.27287,1.27556,1.27208,1.27497,6744.4399
08.01.2024 17:00:00.000 GMT+0100,1.27500,1.27653,1.27458,1.27626,5776.4902
08.01.2024 18:00:00.000 GMT+0100,1.27625,1.27668,1.27516,1.27546,4822.75
08.01.2024 19:00:00.000 GMT+0100,1.27547,1.27579,1.27395,1.27495,2770.8999
08.01.2024 20:00:00.000 GMT+0100,1.27497,1.27601,1.27463,1.27586,4648.7402
08.01.2024 21:00:00.000 GMT+0100,1.27587,1.27587,1.27457,1.27516,4381.4702
08.01.2024 22:00:00.000 GMT+0100,1.27513,1.27554,1.27462,1.27469,1375.26
08.01.2024 23:00:00.000 GMT+0100,1.27463,1.27502,1.27439,1.27461,2198.1699
09.01.2024 00:00:00.000 GMT+0100,1.27478,1.27489,1.27402,1.27411,1385.0699
09.01.2024 01:00:00.000 GMT+0100,1.27411,1.27591,1.27402,1.27553,2909.8201
09.01.2024 02:00:00.000 GMT+0100,1.27551,1.27607,1.27494,1.27599,4902.7002
09.01.2024 03:00:00.000 GMT+0100,1.27601,1.27647,1.27566,1.27571,3418.8899
09.01.2024 04:00:00.000 GMT+0100,1.27571,1.27623,1.27535,1.27557,3409.8
09.01.2024 05:00:00.000 GMT+0100,1.27556,1.27557,1.27448,1.27475,3245.4299
09.01.2024 06:00:00.000 GMT+0100,1.27477,1.27488,1.27375,1.27432,5141.77
09.01.2024 07:00:00.000 GMT+0100,1.27434,1.27457,1.27338,1.27345,5905.3301
09.01.2024 08:00:00.000 GMT+0100,1.27349,1.27505,1.27337,1.27469,3740.6799
09.01.2024 09:00:00.000 GMT+0100,1.27469,1.27470,1.27273,1.27364,4870.48
09.01.2024 10:00:00.000 GMT+0100,1.27366,1.27386,1.27241,1.27340,4066.4399
09.01.2024 11:00:00.000 GMT+0100,1.27342,1.27382,1.27210,1.27243,4162.1001
09.01.2024 12:00:00.000 GMT+0100,1.27242,1.27248,1.27068,1.27129,3352.1101
09.01.2024 13:00:00.000 GMT+0100,1.27128,1.27294,1.27094,1.27275,3580.26
09.01.2024 14:00:00.000 GMT+0100,1.27279,1.27353,1.27160,1.27252,6641.5498
09.01.2024 15:00:00.000 GMT+0100,1.27255,1.27312,1.27153,1.27190,8059.29
09.01.2024 16:00:00.000 GMT+0100,1.27195,1.27212,1.27008,1.27033,7071.8101
09.01.2024 17:00:00.000 GMT+0100,1.27030,1.27176,1.26890,1.27172,4193.4502
09.01.2024 18:00:00.000 GMT+0100,1.27171,1.27184,1.27063,1.27100,4498.04
09.01.2024 19:00:00.000 GMT+0100,1.27099,1.27173,1.26941,1.26973,4260.23
09.01.2024 20:00:00.000 GMT+0100,1.26972,1.27012,1.26915,1.26994,2929.29
09.01.2024 21:00:00.000 GMT+0100,1.26995,1.27070,1.26995,1.27041,3063.8701
09.01.2024 22:00:00.000 GMT+0100,1.27041,1.27108,1.27037,1.27088,985.47
09.01.2024 23:00:00.000 GMT+0100,1.27089,1.27111,1.27043,1.27067,1642.9301
10.01.2024 00:00:00.000 GMT+0100,1.27072,1.27108,1.27054,1.27102,1219.96
10.01.2024 01:00:00.000 GMT+0100,1.27104,1.27177,1.27086,1.27114,2542.0701
10.01.2024 02:00:00.000 GMT+0100,1.27112,1.27152,1.27068,1.27102,4421.3101
10.01.2024 03:00:00.000 GMT+0100,1.27103,1.27125,1.27012,1.27031,2953.1799
10.01.2024 04:00:00.000 GMT+0100,1.27029,1.27075,1.26981,1.26989,2350.23
10.01.2024 05:00:00.000 GMT+0100,1.26986,1.27043,1.26969,1.27022,1797.6
10.01.2024 06:00:00.000 GMT+0100,1.27024,1.27044,1.27009,1.27013,2086.6799
10.01.2024 07:00:00.000 GMT+0100,1.27011,1.27011,1.26859,1.26870,5058.1602
10.01.2024 08:00:00.000 GMT+0100,1.26871,1.27053,1.26871,1.26971,5840.5801
10.01.2024 09:00:00.000 GMT+0100,1.26977,1.27160,1.26964,1.27143,4880.77
10.01.2024 10:00:00.000 GMT+0100,1.27140,1.27285,1.27127,1.27253,4036.24
10.01.2024 11:00:00.000 GMT+0100,1.27252,1.27343,1.27190,1.27258,4126.2202
10.01.2024 12:00:00.000 GMT+0100,1.27258,1.27305,1.27176,1.27254,2845.8601
10.01.2024 13:00:00.000 GMT+0100,1.27254,1.27318,1.27213,1.27219,3602.53
10.01.2024 14:00:00.000 GMT+0100,1.27220,1.27360,1.27198,1.27239,5838.4502
10.01.2024 15:00:00.000 GMT+0100,1.27238,1.27259,1.27130,1.27217,5016.9302
10.01.2024 16:00:00.000 GMT+0100,1.27218,1.27406,1.27147,1.27358,6732.54
10.01.2024 17:00:00.000 GMT+0100,1.27358,1.27389,1.27179,1.27274,5195.6001
10.01.2024 18:00:00.000 GMT+0100,1.27277,1.27370,1.27205,1.27334,3327.45
10.01.2024 19:00:00.000 GMT+0100,1.27334,1.27425,1.27274,1.27391,4161.3999
10.01.2024 20:00:00.000 GMT+0100,1.27390,1.27422,1.27379,1.27419,3738.01
10.01.2024 21:00:00.000 GMT+0100,1.27417,1.27437,1.27298,1.27339,8401.4502
10.01.2024 22:00:00.000 GMT+0100,1.27335,1.27424,1.27329,1.27419,1530.8101
10.01.2024 23:00:00.000 GMT+0100,1.27420,1.27422,1.27348,1.27383,1628.64
11.01.2024 00:00:00.000 GMT+0100,1.27384,1.27448,1.27376,1.27442,781.26
11.01.2024 01:00:00.000 GMT+0100,1.27441,1.27512,1.27441,1.27494,5163.5801
11.01.2024 02:00:00.000 GMT+0100,1.27496,1.27611,1.27494,1.27601,7830.3301
11.01.2024 03:00:00.000 GMT+0100,1.27601,1.27693,1.27577,1.27634,3537.48
11.01.2024 04:00:00.000 GMT+0100,1.27635,1.27680,1.27629,1.27662,3561.1299
11.01.2024 05:00:00.000 GMT+0100,1.27661,1.27710,1.27620,1.27644,3471.96
11.01.2024 06:00:00.000 GMT+0100,1.27642,1.27694,1.27614,1.27629,5734.1299
11.01.2024 07:00:00.000 GMT+0100,1.27628,1.27736,1.27591,1.27698,4522.71
11.01.2024 08:00:00.000 GMT+0100,1.27697,1.27727,1.27620,1.27644,4100.0498
11.01.2024 09:00:00.000 GMT+0100,1.27645,1.27675,1.27561,1.27618,4106.5801
11.01.2024 10:00:00.000 GMT+0100,1.27619,1.27620,1.27382,1.27392,4047.47
11.01.2024 11:00:00.000 GMT+0100,1.27391,1.27466,1.27335,1.27462,3536.1299
11.01.2024 12:00:00.000 GMT+0100,1.27462,1.27681,1.27460,1.27652,3845.1899
11.01.2024 13:00:00.000 GMT+0100,1.27653,1.27703,1.27573,1.27611,3503.01
11.01.2024 14:00:00.000 GMT+0100,1.27611,1.27849,1.27023,1.27105,20409.8301
11.01.2024 15:00:00.000 GMT+0100,1.27107,1.27537,1.26999,1.27243,21465.8398
11.01.2024 16:00:00.000 GMT+0100,1.27242,1.27289,1.26898,1.27135,16170.5596
11.01.2024 17:00:00.000 GMT+0100,1.27137,1.27254,1.26996,1.27088,12493.6104
11.01.2024 18:00:00.000 GMT+0100,1.27087,1.27232,1.27071,1.27200,11724.8203
11.01.2024 19:00:00.000 GMT+0100,1.27200,1.27482,1.27188,1.27476,8269.3301
11.01.2024 20:00:00.000 GMT+0100,1.27475,1.27650,1.27475,1.27621,8694.96
11.01.2024 21:00:00.000 GMT+0100,1.27624,1.27634,1.27414,1.27592,6465.96
11.01.2024 22:00:00.000 GMT+0100,1.27590,1.27664,1.27583,1.27583,4919.5498
11.01.2024 23:00:00.000 GMT+0100,1.27583,1.27640,1.27571,1.27578,2077.98
12.01.2024 00:00:00.000 GMT+0100,1.27579,1.27786,1.27579,1.27782,3286.2
12.01.2024 01:00:00.000 GMT+0100,1.27783,1.27799,1.27656,1.27696,6654.3198
