Local time,Open,High,Low,Close,Volume
01.01.2024 16:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
01.01.2024 17:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
01.01.2024 18:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
01.01.2024 19:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
01.01.2024 20:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
01.01.2024 21:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
01.01.2024 22:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
01.01.2024 23:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
02.01.2024 00:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
02.01.2024 01:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
02.01.2024 02:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
02.01.2024 03:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
02.01.2024 04:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
02.01.2024 05:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
02.01.2024 06:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
02.01.2024 07:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
02.01.2024 08:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
02.01.2024 09:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
02.01.2024 10:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
02.01.2024 11:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
02.01.2024 12:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
02.01.2024 13:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
02.01.2024 14:00:00.000 GMT+0100,494.947,494.947,494.947,494.947,0
02.01.2024 15:00:00.000 GMT+0100,492.047,492.057,475.946,478.807,9.6516
02.01.2024 16:00:00.000 GMT+0100,478.796,479.697,476.006,477.196,15.4932
02.01.2024 17:00:00.000 GMT+0100,477.187,482.597,477.097,482.207,11.5272
02.01.2024 18:00:00.000 GMT+0100,482.207,483.427,480.356,480.866,10.248
02.01.2024 19:00:00.000 GMT+0100,480.877,482.357,478.787,481.636,10.1808
02.01.2024 20:00:00.000 GMT+0100,481.626,482.317,480.016,480.266,10.2216
02.01.2024 21:00:00.000 GMT+0100,480.267,482.016,477.686,481.656,14.0988
02.01.2024 22:00:00.000 GMT+0100,481.656,481.656,481.656,481.656,0
02.01.2024 23:00:00.000 GMT+0100,481.656,481.656,481.656,481.656,0
03.01.2024 00:00:00.000 GMT+0100,481.656,481.656,481.656,481.656,0
03.01.2024 01:00:00.000 GMT+0100,481.656,481.656,481.656,481.656,0
03.01.2024 02:00:00.000 GMT+0100,481.656,481.656,481.656,481.656,0
03.01.2024 03:00:00.000 GMT+0100,481.656,481.656,481.656,481.656,0
03.01.2024 04:00:00.000 GMT+0100,481.656,481.656,481.656,481.656,0
03.01.2024 05:00:00.000 GMT+0100,481.656,481.656,481.656,481.656,0
03.01.2024 06:00:00.000 GMT+0100,481.656,481.656,481.656,481.656,0
03.01.2024 07:00:00.000 GMT+0100,481.656,481.656,481.656,481.656,0
03.01.2024 08:00:00.000 GMT+0100,481.656,481.656,481.656,481.656,0
03.01.2024 09:00:00.000 GMT+0100,481.656,481.656,481.656,481.656,0
03.01.2024 10:00:00.000 GMT+0100,481.656,481.656,481.656,481.656,0
03.01.2024 11:00:00.000 GMT+0100,481.656,481.656,481.656,481.656,0
03.01.2024 12:00:00.000 GMT+0100,481.656,481.656,481.656,481.656,0
03.01.2024 13:00:00.000 GMT+0100,481.656,481.656,481.656,481.656,0
03.01.2024 14:00:00.000 GMT+0100,481.656,481.656,481.656,481.656,0
03.01.2024 15:00:00.000 GMT+0100,474.596,481.727,473.196,477.917,8.8668
03.01.2024 16:00:00.000 GMT+0100,477.886,479.907,473.246,476.386,14.892
03.01.2024 17:00:00.000 GMT+0100,476.376,479.167,476.376,477.377,11.154
03.01.2024 18:00:00.000 GMT+0100,477.377,478.657,476.577,478.246,9.0828
03.01.2024 19:00:00.000 GMT+0100,478.246,478.686,475.096,475.987,7.9224
03.01.2024 20:00:00.000 GMT+0100,475.917,477.927,474.396,476.866,13.7556
03.01.2024 21:00:00.000 GMT+0100,476.866,477.387,474.446,475.456,15.0504
03.01.2024 22:00:00.000 GMT+0100,475.456,475.456,475.456,475.456,0
03.01.2024 23:00:00.000 GMT+0100,475.456,475.456,475.456,475.456,0
04.01.2024 00:00:00.000 GMT+0100,475.456,475.456,475.456,475.456,0
04.01.2024 01:00:00.000 GMT+0100,475.456,475.456,475.456,475.456,0
04.01.2024 02:00:00.000 GMT+0100,475.456,475.456,475.456,475.456,0
04.01.2024 03:00:00.000 GMT+0100,475.456,475.456,475.456,475.456,0
04.01.2024 04:00:00.000 GMT+0100,475.456,475.456,475.456,475.456,0
04.01.2024 05:00:00.000 GMT+0100,475.456,475.456,475.456,475.456,0
04.01.2024 06:00:00.000 GMT+0100,475.456,475.456,475.456,475.456,0
04.01.2024 07:00:00.000 GMT+0100,475.456,475.456,475.456,475.456,0
04.01.2024 08:00:00.000 GMT+0100,475.456,475.456,475.456,475.456,0
04.01.2024 09:00:00.000 GMT+0100,475.456,475.456,475.456,475.456,0
04.01.2024 10:00:00.000 GMT+0100,475.456,475.456,475.456,475.456,0
04.01.2024 11:00:00.000 GMT+0100,475.456,475.456,475.456,475.456,0
04.01.2024 12:00:00.000 GMT+0100,475.456,475.456,475.456,475.456,0
04.01.2024 13:00:00.000 GMT+0100,475.456,475.456,475.456,475.456,0
04.01.2024 14:00:00.000 GMT+0100,475.456,475.456,475.456,475.456,0
04.01.2024 15:00:00.000 GMT+0100,477.617,480.507,475.796,476.317,9.2496
04.01.2024 16:00:00.000 GMT+0100,476.316,481.317,475.017,480.296,15.54
04.01.2024 17:00:00.000 GMT+0100,480.296,484.917,480.247,482.926,13.3128
04.01.2024 18:00:00.000 GMT+0100,482.926,483.487,480.506,482.017,11.9616
04.01.2024 19:00:00.000 GMT+0100,482.016,483.836,481.526,483.006,10.698
04.01.2024 20:00:00.000 GMT+0100,483.047,483.546,480.866,482.167,11.3484
04.01.2024 21:00:00.000 GMT+0100,482.176,483.466,479.746,479.987,15.2736
04.01.2024 22:00:00.000 GMT+0100,479.987,479.987,479.987,479.987,0
04.01.2024 23:00:00.000 GMT+0100,479.987,479.987,479.987,479.987,0
05.01.2024 00:00:00.000 GMT+0100,479.987,479.987,479.987,479.987,0
05.01.2024 01:00:00.000 GMT+0100,479.987,479.987,479.987,479.987,0
05.01.2024 02:00:00.000 GMT+0100,479.987,479.987,479.987,479.987,0
