Local time,Open,High,Low,Close,Volume
01.01.2024 00:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 01:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 02:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 03:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 04:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 05:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 06:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 07:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 08:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 09:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 10:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 11:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 12:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 13:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 14:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 15:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 16:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 17:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 18:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 19:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 20:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 21:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 22:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
01.01.2024 23:00:00.000 GMT+0100,4767.076,4767.076,4767.076,4767.076,0
02.01.2024 00:00:00.000 GMT+0100,4770.867,4776.177,4769.734,4774.626,0.2236
02.01.2024 01:00:00.000 GMT+0100,4774.361,4775.117,4772.611,4773.617,0.1013
02.01.2024 02:00:00.000 GMT+0100,4773.427,4776.379,4771.614,4772.620,0.265
02.01.2024 03:00:00.000 GMT+0100,4772.364,4773.626,4770.861,4772.370,0.2005
02.01.2024 04:00:00.000 GMT+0100,4772.626,4773.879,4772.111,4773.129,0.0898
02.01.2024 05:00:00.000 GMT+0100,4772.879,4775.177,4772.620,4774.364,0.0543
02.01.2024 06:00:00.000 GMT+0100,4774.496,4777.177,4774.370,4776.117,0.1426
02.01.2024 07:00:00.000 GMT+0100,4776.370,4776.427,4773.614,4773.861,0.2013
02.01.2024 08:00:00.000 GMT+0100,4774.177,4778.379,4773.867,4776.617,1.3242
02.01.2024 09:00:00.000 GMT+0100,4776.734,4782.177,4776.617,4780.861,2.3085
02.01.2024 10:00:00.000 GMT+0100,4780.629,4780.629,4769.361,4770.617,2.0115
02.01.2024 11:00:00.000 GMT+0100,4770.373,4771.927,4767.111,4767.611,1.6686
02.01.2024 12:00:00.000 GMT+0100,4767.493,4767.629,4740.614,4745.481,4.6683
02.01.2024 13:00:00.000 GMT+0100,4745.876,4746.123,4732.487,4733.367,3.807
02.01.2024 14:00:00.000 GMT+0100,4733.111,4739.427,4732.111,4736.927,3.6504
02.01.2024 15:00:00.000 GMT+0100,4737.120,4744.114,4729.370,4738.882,14.7612
02.01.2024 16:00:00.000 GMT+0100,4738.376,4743.370,4730.616,4734.417,18.0495
02.01.2024 17:00:00.000 GMT+0100,4734.167,4750.516,4733.914,4749.500,10.0845
02.01.2024 18:00:00.000 GMT+0100,4749.737,4754.172,4743.600,4744.090,9.5724
02.01.2024 19:00:00.000 GMT+0100,4744.331,4747.257,4737.649,4739.116,8.8209
02.01.2024 20:00:00.000 GMT+0100,4738.873,4740.100,4726.981,4726.981,8.9235
02.01.2024 21:00:00.000 GMT+0100,4727.104,4745.204,4722.734,4745.204,12.6369
02.01.2024 22:00:00.000 GMT+0100,4744.960,4746.156,4742.193,4744.727,0.3135
02.01.2024 23:00:00.000 GMT+0100,4744.727,4744.727,4744.727,4744.727,0
03.01.2024 00:00:00.000 GMT+0100,4746.803,4747.306,4743.537,4745.354,0.2184
03.01.2024 01:00:00.000 GMT+0100,4745.603,4745.882,4742.661,4743.227,0.2092
03.01.2024 02:00:00.000 GMT+0100,4743.043,4744.157,4742.181,4743.257,0.2466
03.01.2024 03:00:00.000 GMT+0100,4743.333,4743.757,4741.237,4742.057,0.1648
03.01.2024 04:00:00.000 GMT+0100,4741.756,4742.807,4741.261,4741.540,0.1703
03.01.2024 05:00:00.000 GMT+0100,4741.293,4741.803,4740.096,4740.397,0.0882
03.01.2024 06:00:00.000 GMT+0100,4740.099,4740.907,4739.101,4740.861,0.1321
03.01.2024 07:00:00.000 GMT+0100,4740.629,4742.627,4740.021,4741.643,0.1696
03.01.2024 08:00:00.000 GMT+0100,4741.147,4742.619,4739.614,4741.677,1.167
03.01.2024 09:00:00.000 GMT+0100,4741.752,4745.843,4738.441,4738.697,3.1995
03.01.2024 10:00:00.000 GMT+0100,4739.076,4739.921,4732.797,4732.801,2.6919
03.01.2024 11:00:00.000 GMT+0100,4732.924,4737.039,4731.823,4733.839,2.0871
03.01.2024 12:00:00.000 GMT+0100,4734.061,4735.316,4728.421,4730.166,1.5984
03.01.2024 13:00:00.000 GMT+0100,4729.904,4730.163,4723.501,4724.519,2.2545
03.01.2024 14:00:00.000 GMT+0100,4724.260,4729.979,4723.024,4723.812,2.3895
03.01.2024 15:00:00.000 GMT+0100,4723.686,4725.299,4713.924,4717.011,12.5712
03.01.2024 16:00:00.000 GMT+0100,4716.033,4727.527,4704.434,4711.092,20.5578
03.01.2024 17:00:00.000 GMT+0100,4710.830,4716.380,4708.517,4709.890,14.6925
03.01.2024 18:00:00.000 GMT+0100,4709.900,4721.253,4707.281,4720.567,8.2755
03.01.2024 19:00:00.000 GMT+0100,4720.260,4725.437,4716.214,4718.421,7.8962
03.01.2024 20:00:00.000 GMT+0100,4718.322,4729.107,4707.136,4719.767,25.3602
03.01.2024 21:00:00.000 GMT+0100,4719.966,4720.507,4699.360,4705.227,16.7332
03.01.2024 22:00:00.000 GMT+0100,4705.302,4706.113,4702.647,4704.630,0.3751
03.01.2024 23:00:00.000 GMT+0100,4704.630,4704.630,4704.630,4704.630,0
04.01.2024 00:00:00.000 GMT+0100,4708.061,4710.781,4706.370,4707.622,0.2052
04.01.2024 01:00:00.000 GMT+0100,4707.357,4710.427,4704.650,4710.427,0.2818
04.01.2024 02:00:00.000 GMT+0100,4710.177,4710.677,4708.404,4709.919,0.2782
04.01.2024 03:00:00.000 GMT+0100,4709.669,4710.153,4706.704,4708.691,0.1824
04.01.2024 04:00:00.000 GMT+0100,4708.767,4709.956,4707.012,4707.500,0.1915
04.01.2024 05:00:00.000 GMT+0100,4707.506,4709.747,4707.484,4707.749,0.1025
04.01.2024 06:00:00.000 GMT+0100,4707.989,4708.227,4706.021,4706.392,0.1193
04.01.2024 07:00:00.000 GMT+0100,4706.143,4713.367,4706.134,4713.126,0.2434
04.01.2024 08:00:00.000 GMT+0100,4713.367,4715.626,4711.614,4712.496,1.3797
04.01.2024 09:00:00.000 GMT+0100,4712.623,4716.876,4710.111,4710.617,3.2778
04.01.2024 10:00:00.000 GMT+0100,4710.364,4714.427,4708.864,4713.614,2.8944
04.01.2024 11:00:00.000 GMT+0100,4713.870,4714.547,4708.370,4711.111,1.809
04.01.2024 12:00:00.000 GMT+0100,4710.879,4714.361,4705.876,4706.623,1.9521
04.01.2024 13:00:00.000 GMT+0100,4706.873,4713.873,4702.861,4710.129,3.0348
04.01.2024 14:00:00.000 GMT+0100,4709.861,4710.873,4701.364,4702.620,4.5184
04.01.2024 15:00:00.000 GMT+0100,4702.364,4708.614,4697.382,4705.177,14.0013
04.01.2024 16:00:00.000 GMT+0100,4704.870,4719.347,4702.879,4715.634,14.148
04.01.2024 17:00:00.000 GMT+0100,4716.022,4726.587,4711.880,4714.269,11.178
04.01.2024 18:00:00.000 GMT+0100,4714.001,4715.246,4703.634,4708.074,10.3689
04.01.2024 19:00:00.000 GMT+0100,4707.827,4711.487,4706.627,4707.769,8.028
04.01.2024 20:00:00.000 GMT+0100,4708.004,4710.287,4698.787,4703.844,9.513
04.01.2024 21:00:00.000 GMT+0100,4703.612,4707.252,4687.529,4690.826,12.5334
04.01.2024 22:00:00.000 GMT+0100,4690.324,4693.502,4687.807,4688.797,0.3973
04.01.2024 23:00:00.000 GMT+0100,4688.797,4688.797,4688.797,4688.797,0
05.01.2024 00:00:00.000 GMT+0100,4693.856,4696.842,4693.844,4694.253,0.26
05.01.2024 01:00:00.000 GMT+0100,4694.392,4696.187,4693.390,4694.467,0.1995
05.01.2024 02:00:00.000 GMT+0100,4694.660,4696.657,4693.187,4695.686,0.2655
05.01.2024 03:00:00.000 GMT+0100,4695.433,4695.440,4693.116,4693.481,0.1674
05.01.2024 04:00:00.000 GMT+0100,4693.733,4694.499,4692.520,4692.789,0.1019
05.01.2024 05:00:00.000 GMT+0100,4693.026,4695.317,4692.069,4692.569,0.1982
05.01.2024 06:00:00.000 GMT+0100,4692.449,4693.051,4690.097,4690.623,0.2141
05.01.2024 07:00:00.000 GMT+0100,4690.869,4692.100,4683.127,4686.100,0.3143
05.01.2024 08:00:00.000 GMT+0100,4685.983,4688.677,4682.337,4683.017,1.8187
05.01.2024 09:00:00.000 GMT+0100,4683.327,4688.927,4682.761,4683.934,4.2363
05.01.2024 10:00:00.000 GMT+0100,4684.187,4685.437,4678.271,4679.039,2.7459
05.01.2024 11:00:00.000 GMT+0100,4679.274,4681.266,4674.360,4679.127,2.2086
05.01.2024 12:00:00.000 GMT+0100,4678.814,4680.673,4671.929,4678.122,2.2302
05.01.2024 13:00:00.000 GMT+0100,4678.287,4681.439,4675.179,4677.207,2.1357
05.01.2024 14:00:00.000 GMT+0100,4677.042,4684.592,4663.222,4680.903,11.9876
05.01.2024 15:00:00.000 GMT+0100,4681.152,4702.792,4680.282,4698.452,17.7231
05.01.2024 16:00:00.000 GMT+0100,4702.279,4721.433,4700.660,4718.553,23.6745
05.01.2024 17:00:00.000 GMT+0100,4718.797,4721.516,4703.233,4704.807,14.4423
05.01.2024 18:00:00.000 GMT+0100,4704.984,4705.490,4688.631,4692.311,14.6034
05.01.2024 19:00:00.000 GMT+0100,4692.092,4703.762,4683.737,4700.537,13.8717
05.01.2024 20:00:00.000 GMT+0100,4700.793,4706.636,4683.521,4685.013,13.8825
