Local time,Open,High,Low,Close,Volume
01.01.2024 00:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 01:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 02:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 03:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 04:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 05:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 06:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 07:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 08:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 09:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 10:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 11:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 12:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 13:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 14:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 15:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 16:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 17:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 18:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 19:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 20:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 21:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 22:00:00.000 GMT+0100,140.975,140.975,140.975,140.975,0
01.01.2024 23:00:00.000 GMT+0100,140.843,140.961,140.839,140.875,577.88
02.01.2024 00:00:00.000 GMT+0100,140.883,141.128,140.811,141.110,7594.6899
02.01.2024 01:00:00.000 GMT+0100,141.110,141.378,141.096,141.140,12055.4805
02.01.2024 02:00:00.000 GMT+0100,141.142,141.456,141.141,141.439,11158.0596
02.01.2024 03:00:00.000 GMT+0100,141.435,141.669,141.364,141.562,12562.6299
02.01.2024 04:00:00.000 GMT+0100,141.561,141.665,141.494,141.499,9904.04
02.01.2024 05:00:00.000 GMT+0100,141.501,141.585,141.459,141.537,6251.9399
02.01.2024 06:00:00.000 GMT+0100,141.533,141.533,141.345,141.350,7614.4702
02.01.2024 07:00:00.000 GMT+0100,141.350,141.550,141.335,141.521,6203.6299
02.01.2024 08:00:00.000 GMT+0100,141.519,141.604,141.387,141.544,26172.4297
02.01.2024 09:00:00.000 GMT+0100,141.543,141.592,141.290,141.555,26942.9297
02.01.2024 10:00:00.000 GMT+0100,141.555,141.672,141.377,141.552,19067.2891
02.01.2024 11:00:00.000 GMT+0100,141.552,141.771,141.504,141.649,17117.8809
02.01.2024 12:00:00.000 GMT+0100,141.650,141.887,141.590,141.825,15500.7002
02.01.2024 13:00:00.000 GMT+0100,141.825,142.216,141.791,142.114,17286.5605
02.01.2024 14:00:00.000 GMT+0100,142.114,142.160,141.885,142.150,19733.5605
02.01.2024 15:00:00.000 GMT+0100,142.150,142.175,141.510,141.546,27272.1406
02.01.2024 16:00:00.000 GMT+0100,141.548,142.015,141.499,141.925,31396.2402
02.01.2024 17:00:00.000 GMT+0100,141.924,141.998,141.711,141.892,19643.6094
02.01.2024 18:00:00.000 GMT+0100,141.891,141.998,141.877,141.971,10681.2803
02.01.2024 19:00:00.000 GMT+0100,141.970,142.001,141.847,141.949,6110.5
02.01.2024 20:00:00.000 GMT+0100,141.947,142.000,141.901,141.946,4451.3599
02.01.2024 21:00:00.000 GMT+0100,141.947,141.974,141.803,141.966,6766.21
02.01.2024 22:00:00.000 GMT+0100,141.966,142.017,141.943,141.978,3763.22
02.01.2024 23:00:00.000 GMT+0100,141.971,142.056,141.856,142.041,1319.89
03.01.2024 00:00:00.000 GMT+0100,142.041,142.181,142.041,142.173,3681.4399
03.01.2024 01:00:00.000 GMT+0100,142.174,142.174,141.858,141.954,7172.5498
03.01.2024 02:00:00.000 GMT+0100,141.954,142.135,141.907,142.013,6511.9199
03.01.2024 03:00:00.000 GMT+0100,142.013,142.063,141.984,142.034,5039.7002
03.01.2024 04:00:00.000 GMT+0100,142.037,142.041,141.877,141.889,5944.9302
03.01.2024 05:00:00.000 GMT+0100,141.886,141.943,141.858,141.904,4723.1899
03.01.2024 06:00:00.000 GMT+0100,141.904,142.132,141.904,142.123,4840.48
03.01.2024 07:00:00.000 GMT+0100,142.120,142.131,142.010,142.088,9318.6299
03.01.2024 08:00:00.000 GMT+0100,142.087,142.468,142.035,142.418,18910.25
03.01.2024 09:00:00.000 GMT+0100,142.417,142.645,142.396,142.572,16040.8799
03.01.2024 10:00:00.000 GMT+0100,142.573,142.710,142.499,142.637,13666.46
03.01.2024 11:00:00.000 GMT+0100,142.638,142.794,142.599,142.649,15323.0898
03.01.2024 12:00:00.000 GMT+0100,142.648,142.980,142.591,142.932,25590.5898
03.01.2024 13:00:00.000 GMT+0100,142.931,142.989,142.789,142.932,30311.0605
03.01.2024 14:00:00.000 GMT+0100,142.934,143.083,142.816,143.017,40546.0391
03.01.2024 15:00:00.000 GMT+0100,143.017,143.410,142.961,143.204,40462.8086
03.01.2024 16:00:00.000 GMT+0100,143.222,143.727,142.809,143.599,52395.1914
03.01.2024 17:00:00.000 GMT+0100,143.599,143.599,143.338,143.556,31860.7109
03.01.2024 18:00:00.000 GMT+0100,143.555,143.727,143.495,143.609,18436.2793
03.01.2024 19:00:00.000 GMT+0100,143.607,143.671,143.465,143.564,17694.4805
03.01.2024 20:00:00.000 GMT+0100,143.564,143.731,143.136,143.235,41831.7188
03.01.2024 21:00:00.000 GMT+0100,143.237,143.276,143.116,143.237,16910.0605
03.01.2024 22:00:00.000 GMT+0100,143.238,143.307,143.229,143.281,5693.9502
03.01.2024 23:00:00.000 GMT+0100,143.277,143.277,143.102,143.136,2426.23
04.01.2024 00:00:00.000 GMT+0100,143.140,143.145,142.948,142.995,8563.29
04.01.2024 01:00:00.000 GMT+0100,142.995,143.320,142.853,143.266,22350.9102
04.01.2024 02:00:00.000 GMT+0100,143.268,143.448,143.118,143.428,15368.2695
04.01.2024 03:00:00.000 GMT+0100,143.427,143.486,143.348,143.471,13177.9502
04.01.2024 04:00:00.000 GMT+0100,143.470,143.471,143.225,143.343,12263.6797
04.01.2024 05:00:00.000 GMT+0100,143.343,143.603,143.330,143.565,12038.5303
04.01.2024 06:00:00.000 GMT+0100,143.568,143.893,143.565,143.775,22041.8301
04.01.2024 07:00:00.000 GMT+0100,143.777,143.807,143.514,143.526,25450.0293
04.01.2024 08:00:00.000 GMT+0100,143.527,143.583,143.179,143.373,37073.3906
04.01.2024 09:00:00.000 GMT+0100,143.373,143.644,143.360,143.588,31505.6309
04.01.2024 10:00:00.000 GMT+0100,143.588,143.891,143.562,143.864,35497.8203
04.01.2024 11:00:00.000 GMT+0100,143.865,144.267,143.865,144.250,35224.8281
04.01.2024 12:00:00.000 GMT+0100,144.252,144.293,144.131,144.255,29156.7695
04.01.2024 13:00:00.000 GMT+0100,144.254,144.263,144.062,144.217,31697.7793
04.01.2024 14:00:00.000 GMT+0100,144.216,144.551,144.117,144.535,26324.4805
04.01.2024 15:00:00.000 GMT+0100,144.534,144.850,144.518,144.783,27091.9004
04.01.2024 16:00:00.000 GMT+0100,144.783,144.800,144.470,144.661,37176.3789
04.01.2024 17:00:00.000 GMT+0100,144.660,144.660,144.459,144.590,33625.6797
04.01.2024 18:00:00.000 GMT+0100,144.589,144.648,144.511,144.596,12697.6201
04.01.2024 19:00:00.000 GMT+0100,144.597,144.710,144.548,144.600,10573.8203
04.01.2024 20:00:00.000 GMT+0100,144.600,144.641,144.513,144.578,7083.1001
04.01.2024 21:00:00.000 GMT+0100,144.577,144.610,144.513,144.588,7323.7998
04.01.2024 22:00:00.000 GMT+0100,144.589,144.667,144.574,144.622,4105.8101
04.01.2024 23:00:00.000 GMT+0100,144.621,144.630,144.533,144.578,1574.61
05.01.2024 00:00:00.000 GMT+0100,144.579,144.775,144.575,144.772,3658.48
05.01.2024 01:00:00.000 GMT+0100,144.772,144.900,144.659,144.798,19370.9102
05.01.2024 02:00:00.000 GMT+0100,144.799,144.842,144.669,144.740,22807.0508
05.01.2024 03:00:00.000 GMT+0100,144.742,144.840,144.676,144.815,18943.2305
05.01.2024 04:00:00.000 GMT+0100,144.815,144.953,144.771,144.924,16817.1094
05.01.2024 05:00:00.000 GMT+0100,144.923,144.947,144.800,144.847,18318.9102
05.01.2024 06:00:00.000 GMT+0100,144.846,144.873,144.658,144.729,20223.1309
05.01.2024 07:00:00.000 GMT+0100,144.727,145.367,144.695,145.238,33534.1094
05.01.2024 08:00:00.000 GMT+0100,145.240,145.253,144.965,145.075,34993.5898
05.01.2024 09:00:00.000 GMT+0100,145.074,145.103,144.852,145.075,30715.9902
05.01.2024 10:00:00.000 GMT+0100,145.080,145.202,145.002,145.184,24540.7402
05.01.2024 11:00:00.000 GMT+0100,145.185,145.374,145.176,145.210,26021.5898
05.01.2024 12:00:00.000 GMT+0100,145.214,145.352,145.165,145.266,19142.4102
05.01.2024 13:00:00.000 GMT+0100,145.269,145.297,145.069,145.092,17060.0293
05.01.2024 14:00:00.000 GMT+0100,145.092,145.976,145.052,145.465,55950.0781
05.01.2024 15:00:00.000 GMT+0100,145.465,145.484,144.928,145.086,59490.7383
05.01.2024 16:00:00.000 GMT+0100,145.085,145.085,143.806,144.127,77497.3203
05.01.2024 17:00:00.000 GMT+0100,144.127,144.542,144.065,144.529,43842.5313
05.01.2024 18:00:00.000 GMT+0100,144.523,144.829,144.521,144.745,32811.5586
05.01.2024 19:00:00.000 GMT+0100,144.746,144.894,144.611,144.633,19244.3301
05.01.2024 20:00:00.000 GMT+0100,144.631,144.700,144.495,144.660,22317.6191
05.01.2024 21:00:00.000 GMT+0100,144.659,144.766,144.624,144.747,9434.8896
05.01.2024 22:00:00.000 GMT+0100,144.747,144.789,144.549,144.603,5298.6802
07.01.2024 23:00:00.000 GMT+0100,144.453,144.608,144.382,144.540,961.85
08.01.2024 00:00:00.000 GMT+0100,144.540,144.917,144.528,144.721,8885.5
08.01.2024 01:00:00.000 GMT+0100,144.721,144.797,144.586,144.594,12155.0195
08.01.2024 02:00:00.000 GMT+0100,144.595,144.664,144.318,144.373,24426.6309
08.01.2024 03:00:00.000 GMT+0100,144.374,144.562,144.374,144.524,11391.2803
08.01.2024 04:00:00.000 GMT+0100,144.521,144.553,144.312,144.488,13927.0898
08.01.2024 05:00:00.000 GMT+0100,144.488,144.538,144.393,144.462,14933.0898
08.01.2024 06:00:00.000 GMT+0100,144.467,144.478,144.361,144.365,12328.79
08.01.2024 07:00:00.000 GMT+0100,144.363,144.368,144.169,144.180,17269.1895
08.01.2024 08:00:00.000 GMT+0100,144.180,144.468,144.089,144.415,33210.5508
08.01.2024 09:00:00.000 GMT+0100,144.415,144.611,144.377,144.521,44459.1211
08.01.2024 10:00:00.000 GMT+0100,144.519,144.573,144.185,144.233,29606.4395
08.01.2024 11:00:00.000 GMT+0100,144.232,144.495,144.199,144.399,22221.0391
08.01.2024 12:00:00.000 GMT+0100,144.398,144.586,144.323,144.578,25306.2598
08.01.2024 13:00:00.000 GMT+0100,144.578,144.683,144.431,144.475,23623.9902
08.01.2024 14:00:00.000 GMT+0100,144.472,144.573,144.264,144.453,34175.6602
08.01.2024 15:00:00.000 GMT+0100,144.453,144.468,144.077,144.095,42472.5117
08.01.2024 16:00:00.000 GMT+0100,144.098,144.165,143.852,143.935,39327.8594
08.01.2024 17:00:00.000 GMT+0100,143.933,143.956,143.661,143.897,30426.7598
08.01.2024 18:00:00.000 GMT+0100,143.897,143.986,143.805,143.963,19139.7598
08.01.2024 19:00:00.000 GMT+0100,143.966,144.182,143.955,144.142,12073.4102
08.01.2024 20:00:00.000 GMT+0100,144.141,144.172,144.070,144.103,15778.6797
08.01.2024 21:00:00.000 GMT+0100,144.104,144.269,144.071,144.157,11859.3896
08.01.2024 22:00:00.000 GMT+0100,144.159,144.238,144.113,144.223,5318.6299
08.01.2024 23:00:00.000 GMT+0100,144.223,144.241,144.184,144.222,1833.76
09.01.2024 00:00:00.000 GMT+0100,144.229,144.280,144.101,144.224,4980.3599
09.01.2024 01:00:00.000 GMT+0100,144.223,144.258,143.852,143.928,20156.3496
09.01.2024 02:00:00.000 GMT+0100,143.928,143.974,143.451,143.481,26656.2305
09.01.2024 03:00:00.000 GMT+0100,143.480,143.703,143.419,143.680,19621.0293
09.01.2024 04:00:00.000 GMT+0100,143.679,143.689,143.498,143.625,12137.71
09.01.2024 05:00:00.000 GMT+0100,143.625,143.688,143.569,143.585,11626.1504
09.01.2024 06:00:00.000 GMT+0100,143.587,143.882,143.581,143.789,10319.8203
09.01.2024 07:00:00.000 GMT+0100,143.787,144.103,143.787,144.067,14780.0303
09.01.2024 08:00:00.000 GMT+0100,144.068,144.152,143.860,144.063,29419.5098
09.01.2024 09:00:00.000 GMT+0100,144.064,144.314,143.956,144.030,42691.9492
09.01.2024 10:00:00.000 GMT+0100,144.030,144.041,143.742,143.945,33041.3281
09.01.2024 11:00:00.000 GMT+0100,143.946,144.089,143.843,144.061,28528.8496
09.01.2024 12:00:00.000 GMT+0100,144.062,144.170,143.979,144.072,19418.1699
09.01.2024 13:00:00.000 GMT+0100,144.072,144.140,143.952,143.999,22464.7793
09.01.2024 14:00:00.000 GMT+0100,143.998,144.190,143.746,143.768,33570.1406
09.01.2024 15:00:00.000 GMT+0100,143.768,143.917,143.651,143.909,38088.5
09.01.2024 16:00:00.000 GMT+0100,143.909,144.362,143.758,144.309,40355.25
09.01.2024 17:00:00.000 GMT+0100,144.310,144.441,144.265,144.352,30411.8301
09.01.2024 18:00:00.000 GMT+0100,144.352,144.484,144.321,144.404,24040.5801
09.01.2024 19:00:00.000 GMT+0100,144.405,144.623,144.239,144.553,17291.3594
09.01.2024 20:00:00.000 GMT+0100,144.553,144.591,144.456,144.546,14816.71
09.01.2024 21:00:00.000 GMT+0100,144.546,144.546,144.346,144.519,12512.6104
09.01.2024 22:00:00.000 GMT+0100,144.519,144.527,144.457,144.464,5050.21
09.01.2024 23:00:00.000 GMT+0100,144.453,144.464,144.394,144.404,2324.98
10.01.2024 00:00:00.000 GMT+0100,144.404,144.453,144.314,144.431,3985.6299
10.01.2024 01:00:00.000 GMT+0100,144.431,144.712,144.416,144.532,20349.7305
10.01.2024 02:00:00.000 GMT+0100,144.530,144.822,144.527,144.739,13328.0303
10.01.2024 03:00:00.000 GMT+0100,144.738,144.901,144.702,144.848,8216.9297
10.01.2024 04:00:00.000 GMT+0100,144.847,144.934,144.751,144.846,9129.8604
10.01.2024 05:00:00.000 GMT+0100,144.848,144.856,144.756,144.805,8348.5098
10.01.2024 06:00:00.000 GMT+0100,144.807,144.865,144.667,144.774,8269.3096
10.01.2024 07:00:00.000 GMT+0100,144.780,145.131,144.731,145.065,14860.6904
10.01.2024 08:00:00.000 GMT+0100,145.065,145.150,144.838,144.938,39024.5391
10.01.2024 09:00:00.000 GMT+0100,144.938,145.052,144.848,144.985,34144.1211
10.01.2024 10:00:00.000 GMT+0100,144.986,145.034,144.827,144.916,25092.2305
10.01.2024 11:00:00.000 GMT+0100,144.916,144.952,144.761,144.934,18584.8906
10.01.2024 12:00:00.000 GMT+0100,144.934,145.127,144.924,144.993,16399.7305
10.01.2024 13:00:00.000 GMT+0100,144.994,145.287,144.981,145.274,24956.3105
10.01.2024 14:00:00.000 GMT+0100,145.274,145.332,145.146,145.294,31756.25
10.01.2024 15:00:00.000 GMT+0100,145.294,145.523,145.233,145.444,32725.5195
10.01.2024 16:00:00.000 GMT+0100,145.444,145.674,145.422,145.613,43638.3203
10.01.2024 17:00:00.000 GMT+0100,145.613,145.824,145.512,145.686,26234.5391
10.01.2024 18:00:00.000 GMT+0100,145.686,145.740,145.565,145.613,11527.3496
10.01.2024 19:00:00.000 GMT+0100,145.613,145.699,145.561,145.632,10126.6699
10.01.2024 20:00:00.000 GMT+0100,145.629,145.714,145.605,145.688,6026.7202
10.01.2024 21:00:00.000 GMT+0100,145.688,145.828,145.607,145.801,9216.0898
10.01.2024 22:00:00.000 GMT+0100,145.802,145.827,145.710,145.745,5637.6099
10.01.2024 23:00:00.000 GMT+0100,145.742,145.742,145.578,145.636,1971.08
11.01.2024 00:00:00.000 GMT+0100,145.635,145.809,145.597,145.723,5634.23
11.01.2024 01:00:00.000 GMT+0100,145.724,145.778,145.423,145.481,28177.4102
11.01.2024 02:00:00.000 GMT+0100,145.481,145.547,145.324,145.364,25431.2793
11.01.2024 03:00:00.000 GMT+0100,145.364,145.587,145.335,145.540,15900.4199
11.01.2024 04:00:00.000 GMT+0100,145.542,145.553,145.303,145.310,12687.8896
11.01.2024 05:00:00.000 GMT+0100,145.308,145.411,145.277,145.387,8094.8701
11.01.2024 06:00:00.000 GMT+0100,145.389,145.510,145.281,145.489,12151.4297
11.01.2024 07:00:00.000 GMT+0100,145.488,145.544,145.397,145.422,13285.8799
11.01.2024 08:00:00.000 GMT+0100,145.425,145.462,145.335,145.406,19080.0098
11.01.2024 09:00:00.000 GMT+0100,145.405,145.491,145.328,145.475,26861.3809
