Local time,Open,High,Low,Close,Volume
01.01.2024 00:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 01:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 02:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 03:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 04:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 05:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 06:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 07:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 08:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 09:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 10:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 11:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 12:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 13:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 14:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 15:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 16:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 17:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 18:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 19:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 20:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 21:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 22:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
01.01.2024 23:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
02.01.2024 00:00:00.000 GMT+0100,13.87,13.93,13.87,13.93,0.018
02.01.2024 01:00:00.000 GMT+0100,13.93,13.93,13.93,13.93,0
02.01.2024 02:00:00.000 GMT+0100,13.88,13.93,13.87,13.92,0.096
02.01.2024 03:00:00.000 GMT+0100,13.92,13.92,13.92,13.92,0
02.01.2024 04:00:00.000 GMT+0100,13.92,13.92,13.92,13.92,0
02.01.2024 05:00:00.000 GMT+0100,13.92,13.92,13.92,13.92,0
02.01.2024 06:00:00.000 GMT+0100,13.92,13.92,13.92,13.92,0
02.01.2024 07:00:00.000 GMT+0100,13.92,13.92,13.92,13.92,0
02.01.2024 08:00:00.000 GMT+0100,13.93,13.93,13.93,13.93,0.006
02.01.2024 09:00:00.000 GMT+0100,13.83,13.83,13.82,13.82,0.012
02.01.2024 10:00:00.000 GMT+0100,13.92,13.92,13.92,13.92,0.012
02.01.2024 11:00:00.000 GMT+0100,13.92,13.93,13.92,13.93,0.012
02.01.2024 12:00:00.000 GMT+0100,14.03,14.23,14.03,14.13,0.24
02.01.2024 13:00:00.000 GMT+0100,14.17,14.63,14.17,14.63,0.162
02.01.2024 14:00:00.000 GMT+0100,14.63,14.63,14.47,14.47,0.162
02.01.2024 15:00:00.000 GMT+0100,14.42,14.58,14.27,14.47,0.276
02.01.2024 16:00:00.000 GMT+0100,14.38,14.63,14.37,14.62,0.528
02.01.2024 17:00:00.000 GMT+0100,14.53,14.53,14.22,14.22,0.156
02.01.2024 18:00:00.000 GMT+0100,14.12,14.18,14.02,14.18,0.114
02.01.2024 19:00:00.000 GMT+0100,14.18,14.18,13.88,13.98,0.084
02.01.2024 20:00:00.000 GMT+0100,14.07,14.17,13.97,14.17,0.114
02.01.2024 21:00:00.000 GMT+0100,14.18,14.28,13.97,13.97,0.132
02.01.2024 22:00:00.000 GMT+0100,13.97,13.98,13.97,13.98,0.018
02.01.2024 23:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
03.01.2024 00:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
03.01.2024 01:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
03.01.2024 02:00:00.000 GMT+0100,13.98,13.98,13.98,13.98,0
03.01.2024 03:00:00.000 GMT+0100,14.08,14.08,14.08,14.08,0.006
03.01.2024 04:00:00.000 GMT+0100,14.08,14.08,14.08,14.08,0
03.01.2024 05:00:00.000 GMT+0100,14.08,14.08,14.08,14.08,0
